content,category,example1,example2,example3,source,ans
말의 가장 높은 신체부위에 두는 것은?,객관식,안장,등자,편자,1 대 100 - 54회,안장
교육이라는 말이 처음으로 등장한 책은?,객관식,논어,맹자,대학,1 대 100 - 54회,맹자
옹고집과 같은 뜻이 아닌 것은?,객관식,개고집,닭고집,쇠고집,1 대 100 - 54회,개고집
신사임당의 아들은?,객관식,황희,이이,한석봉,1 대 100 - 54회,이이
<한 대의 피아노를 두 사람이 연주하는 것>은?,객관식,연탄,콩알탄,구공탄,1 대 100 - 54회,연탄
주민등록번호 앞자리에 올 수 없는 것은?,객관식,111111,222222,121212,1 대 100 - 54회,222222
이름이 다른 한 사람은?,객관식,물리학자 뉴턴,의사 슈바이처,물리학자 아이슈타인,1 대 100 - 54회,물리학자 뉴턴
순간접착제는 공기 주으이 무엇과 닿아 접착되는가?,객관식,O2,H2O,CO2,1 대 100 - 54회,H2O
가장 많은 층수의 건물은?,객관식,타이베이금융센터,시어스타워,엠파이어스테이트 빌딩,1 대 100 - 54회,시어스타워
우리나라 발명 특허 1호는?,객관식,문양직조법,연초제조법,유화염료제조법,1 대 100 - 41회,유화염료제조법
인도네시아 발리섬 최고봉으로 현지에서 <세계의 배꼽>이라고 불리는 산은?,객관식,아궁산,바궁산,다궁산,1 대 100 - 200회,아궁산
푸에르토리코를 바르게 띄어 읽은 것은?,객관식,푸에 르토리코,푸에르 토리코,푸에르토 리코,1 대 100 - 104회,푸에르토 리코
현금영수증은 처음 발행 당시 5000원 이상이면 발급해 주었다. 현재는?,객관식,1원 이상,100원 이상,1000원 이상,1 대 100 - 124회,1원 이상
우리나라 국화는?,객관식,꽃말은 일편단심,조선 초 우리나라에 전래,꽃 한 송이가 약 4개월간 지지 않는다,1 대 100 - 10회,꽃말은 일편단심
우리나라에서 최초로 만들어진 라면의 가격은?,객관식,5원,10원,20원,1 대 100 - 16회,20원
침은?,객관식,산성,중성,알칼리성,1 대 100 - 16회,산성
최근 영국의 한 주류전문잡지가 발표한 <2008년 세계 증류주 판매량> 1위는 ( )다. 8년 연속 1위를 차지한 ( )은?,객관식,보드카,소주,위스키,1 대 100 - 116회,소주
예수의 시신을 감쌌다고 알려진 토리노의 수의가 <이 사람>이 만들어 낸 위조품이라는 의견이 제기되어 화제다. 이 사람은?,객관식,레오나르도 다빈치,미켈란젤로,라파엘로,1 대 100 - 116회,레오나르도 다빈치
야구에서 그린라이트(Green light)는 벤치의 지시 없이 선수 스스로 판단하여 ( )를(을) 할 수 있는 권리를 뜻한다. ( )는?,객관식,도루,번트,스위,1 대 100 - 388회,도루
만화영화의 캐릭터 설명이 잘못된 것은?,객관식,신형만=짱구 아빠,오순창=영심이 아빠,홍두깨=하니 아빠,1 대 100 - 518회,홍두깨=하니 아빠
류현진 선수는 선발경기에서 <( ) 스타트를 기록하며 호투했다>에서 <( ) 스타트>는 선발로 등판한 선수가 6이닝 이상 공을 던지고 3자책점 이하로 막아낸 경기를 뜻한다. ( )는?,객관식,Good,Fine,Quality,1 대 100 - 518회,Quality
이 히어로는 부유하고 행복한 집안의 외아들로 자랐지만 어릴 적 부모가 강도에게 목숨을 잃은 후 범죄를 없애는 일에 평생을 바치기로 한다. 뉴욕을 배경으로 한 가상 도시에 살고 있는 이 히어로는?,객관식,배트맨,스파이더맨,아이어맨,1 대 100 - 519회,스파이더맨
러시아 출신 작가의 작품이 아닌 것은?,객관식,삶이 그대를 속일지라도,전쟁과 평화,좁은 문,1 대 100 - 522회,좁은 문
자전방향이 다른 하나는?,객관식,지구,목성,금성,1 대 100 - 522회,금성
남자는?,객관식,루소 <메일>의 에밀,샬럿 브론테 <제인 에어>의 제인 에어,토머스 하디 <테스>의 테스,1 대 100 - 544회,루소 <메일>의 에밀
<유니콘>에 없는 것은?,객관식,뿔,날개,꼬리,1 대 100 - 544회,날개
동상 본체마느이 높이가 가장 높은 것은?,객관식,브라질의 <구세주 그리스도상>,미국의 <자유의 여신상>,러시아의 <어머니 조국상>,1 대 100 - 544회,러시아의 <어머니 조국상>
두 주인공 모두 여성인 영화는?,객관식,로미오와 줄리엣,델마와 루이스,보니와 클라이드,1 대 100 - 228회,델마와 루이스
잘못된 문장은?,객관식,포도가 매우 좋아,딸기가 아주 좋아,사과가 너무 좋아,1 대 100 - 228회,사과가 너무 좋아
동화 <피터팬>에 등장하는 해적 후크 선장의 한쪽 손은?,객관식,가위손,갈고리손,효자손,1 대 100 - 228회,갈고리손
컴퓨터 기능키 <F10>에서 F는?,객관식,Follow,Favorite,Function,1 대 100 - 228회,Function
동요 <여우야 여우야 뭐하니>에서 여우가 가장 먼저 하는 것은?,객관식,잠잔다,세수한다,밥 먹는다,1 대 100 - 228회,잠잔다
한국인들이 즐겨 마시는 술 <소주>에서 소는?,객관식,적을 소,불사를 소,하소연할 소,1 대 100 - 228회,불사를 소
신사임당의 본명은?,객관식,인선,초희,옥정,1 대 100 - 228회,인선
출생국가의 다른 사람은?,객관식,클로드 모네,폴 고갱,빈센트 반 고흐,1 대 100 - 228회,빈센트 반 고흐
적도를 지나지 않는 나라는?,객관식,브라질,인도네시아,에티오피아,1 대 100 - 8회,에티오피아
말(馬)은?,객관식,과하마,바하마,이루마,1 대 100 - 40회,과하마
가장 매운 것은?,객관식,한국의 청양고추,인도의 졸로키아,멕시코의 하바네로,1 대 100 - 40회,인도의 졸로키아
마음이 무르고 약한 사람을 비유적으로 이르는 말은?,객관식,물렁두부,물렁쑥떡,물렁팥죽,1 대 100 - 63회 ,물렁팥죽
"대통령이 사는 곳을 한국에선 청와대, 미국에서는 백악관이라고 한다. 그렇다면 아르헨티나는?",객관식,그린하우스,핑크하우스,옐로하우스,1 대 100 - 55회 ,핑크하우스
성서나 사전을 만들 때 주로 쓰는 얇으면서도 질긴 종이는?,객관식,India paper,Arabia paper,Greece paper,1 대 100 - 123회,India paper
"1887년 미국에서 채소에 세금을 물리는 관세법이 통과되자, 토마토가 과일이나 채소냐 하는 논쟁이 벌어졌다. 미국대연방법원은 토마토가 채소라는 판결을 내렸는데 그 근거는?",객관식,뜨거운 불에 익혀 먹을 수 있어서,가지목 가지과의 식물이라서,식사에 나오지만 후식으로 나오지 않아서,1 대 100 - 136회,식사에 나오지만 후식으로 나오지 않아서
세계 최초의 인공위성 스푸트니크호에서 스푸트니크는 러시아로 무슨 뜻인가?,객관식,개척자,동반자,정복자,1 대 100 - 159회,동반자
펜싱 종목 가운데 공격할 수 있는 부위가 가장 넓은 종목은?,객관식,에페,사브르,플뢰레,1 대 100 - 175회,에페
국가대표 축구경기에서 퇴장 등으로 한 팀의 선수가 ( )명보다 적을 때에는 경기를 중단한다. ( )는?,객관식,6,7,8,1 대 100 - 183회,7
"신선도가 떨어지는 ( )를 먹으면, 매운맛이 나며 혀가 마비되는 듯한 증세가 나타난다. 이 때문에 김려 선생은 <우해이어보>에서 ( )를 <증울(蒸鬱)>이라 하며 <찌는 듯이 덥고 답답해서 머리가 아프다>고 했는데 ( )는?",객관식,정어리,전갱이,청어,1 대 100 - 202회,정어리
사람을 태우고 과실나무 가지를 지나갈 수 있는 말로 키가 몹시 작은 말을 가리키는 말은?,객관식,과하마,실하마,후하마,1 대 100 - 233회,과하마
월드컵 본선 경기시 축구 선수의 등번호는 1번부터 ( )까지 하되 1번은 반드시 골키퍼가 달아야 한다. ( )는?,객관식,23번,33번,43번,1 대 100 - 264회,23번
한자가 다른 <수>는?,객관식,나의 취미는 우표 수집이다,내 수입의 반을 저축했다,쓰레기 분리수거를 실시했다,1 대 100 - 311회,나의 취미는 우표 수집이다
"클래식 음악에서 작품 번호를 표시할 때, 헨델의 작품에는 <HWV> 바흐의 작품에는 <BWV> (이 사람)의 작품에는 <K.V.>가 붙는다고 하는데 (이 사람)은?",객관식,쇼팽,베토벤,모차르트,1 대 100 - 361회,모차르트
하회탈 中 입과 턱이 없는 것은?,객관식,각시탈,백정탈,이매탈,1 대 100 - 540회,이매탈
과학기술인 명예의 전당에 헌액되지 않은 사람은?,객관식,정약용,홍대용,허준,1 대 100 - 67회,정약용
이득의 기대치가 무한대인 도박이라도 실제로는 거금을 내고 참여하는 사람이 없다는 내용의 역설은?,객관식,인터라켄의 역설,리우 데 자네이루의 역설,세인트 피터스버그의 역설,1 대 100 - 106회,세인트 피터스버그의 역설
소금 염(鹽)자가 아닌 것은?,객관식,염곡동,염리동,염창동,1 대 100 - 106회,염곡동
<칠거지악>은 과거에 남편이 아내를 일방적으로 내쫓을 수 있었던 7가지 요건을 말한다. 해당하지 않는 것은?,객관식,나쁜 병이 있음,거짓말을 함,자식이 없음,1 대 100 - 109회,거짓말을 함
<노걸대>는 조선시대 중국어회화 교재다. 고려시대 상인들이 중국여행을 하면서 일어나는 일을 대화로 기록한 것인데 없는 내용은?,객관식,화장실 사용법,계약서 쓰는 법,술값 계산하는 법,1 대 100 - 133회,화장실 사용법
히포크라테스가 <인간의 생명이 시작되는 순간>이라고 한 때는?,객관식,수정되는 순간,태어나는 순간,거짓말하는 순간,1 대 100 - 161회,수정되는 순간
경기에 뛰는 선수가 가장 많은 종목은?,객관식,핸드볼,아이스하키,배구,1 대 100 - 177회,핸드볼
옥생각은?,객관식,기발한 생각,대범한 생각,옹졸한 생각,1 대 100 - 178회 ,옹졸한 생각
프랑스의 (이 다리)는 아폴리네르의 <(이 다리) 아래 센 강은 흐르고>라는 시구(詩句)로 단번에 센 강의 대표적인 다리로 급부상했다. 이 다리는?,객관식,비르아켐 다리,퐁네프 다리,미라보 다리,1 대 100 - 183회,미라보 다리
2011년 공식 야구 규칙에 의하면 투수 마운드는 공의 위력을 강하게 하기 위해 높게 만든다. 마운드의 높이는?,객관식,약 25cm,약 35cm,약 45cm,1 대 100 - 213회 ,약 25cm
이집트 신화에서 달의 여신 이시스는 밤이 되면 ( )로 변해 남편 오시리스 무덤에서 구슬피 울었다고 한다. ( )는?,객관식,종달새,올빼미,제비,1 대 100 - 214회,제비
이집트 왕비 <네페르티티>는 남편 아케나톤 왕이 죽은 후 파라오로 즉위했다는 설이 있을 정도로 권력자였다. 네페르티티의 뜻은?,객관식,권력은 나의 것이다,아름다운 여자가 왔다,이집트의 힘은 영원하다,1 대 100 - 219회,아름다운 여자가 왔다
<모르는 사실을 깨닫도록 암시를 주다>는?,객관식,땅기다,떵기다,똥기다,1 대 100 - 221회,똥기다
세계적인 물리학자 스티븐 호킹은 70세 생일을 맞아 한 인터뷰에서 <요즘 완벽한 미스터리인 ( )에 대해 생각 중이다>라고 말했다고 한다. ( )는?,객관식,여자,죽음,꿈,1 대 100 - 스타퀴즈왕,여자
프라하에서 초연된 스메타나의 오페라 ( )는 보헤미아 지방의 옛 이야기에 민족무곡을 도입해 체코의 국민 오페라로 사랑받았는데 ( )는?,객관식,팔려 간 신부,도망간 신부,돌아온 신부,1 대 100 - 270회,팔려 간 신부
중국 고대 신화에서 인류의 시조라고 소개된 두 주인공을 다룬 작품이다. 두 주인공의 이름은?,객관식,뇌공(雷公)과 고비(高比),복희(伏羲)와 여와(女媧),수인(燧人)과 신농(神農),1 대 100 - 303회,복희(伏羲)와 여와(女媧)
<터무니 없는 거짓말 같은 일>이라는 뜻의 속담은?,객관식,당나귀가 날아갈 노릇이다,고양이가 알 낳을 노릇이다,까마귀가 젖 먹일 노릇이다,1 대 100 - 310회,고양이가 알 낳을 노릇이다
