content,category,example1,example2,example3,source,ans
수고양이 vs 숫고양이,객관식,수고양이,숫고양이,빈칸,우리말겨루기- 714회,수고양이
동틀 녘 vs 동틀녘,객관식,동틀 녘,동틀녘,빈칸,우리말겨루기- 714회,동틀 녘
짝외사랑 vs 외짝사랑,객관식,짝외사랑,외짝사랑,빈칸,우리말겨루기- 713회,외짝사랑
들랑날랑 O or X,객관식,O,X,빈칸,우리말겨루기- 713회,O
꼼장어 vs 곰장어,객관식,꼼장어,곰장어,빈칸,우리말겨루기- 712회,곰장어
목욕제계 vs 목욕재계,객관식,목욕제계,목욕재계,빈칸,우리말겨루기- 712회,목욕재계
닷새날 vs 닷샛날,객관식,닷새날,닷샛날,빈칸,우리말겨루기- 711회,닷샛날
초생달 vs 초승달,객관식,초생달,초승달,빈칸,우리말겨루기- 711회,초승달
코빼기 vs 콧배기,객관식,코빼기,콧배기,빈칸,우리말겨루기- 710회,코빼기
연록색 vs 연녹색,객관식,연록색,연녹색,빈칸,우리말겨루기- 710회,연녹색
그제서야 vs 그제야,객관식,그제서야,그제야,빈칸,우리말겨루기- 709회,그제야
눈에가시 vs 눈엣가시,객관식,눈에가시,눈엣가시,빈칸,우리말겨루기- 709회,눈엣가시
벼라별 vs 별의별,객관식,벼라별,별의별,빈칸,우리말겨루기- 708회,별의별
희희덕거리다 vs 시시덕거리다,객관식,희희덕거리다,시시덕거리다,빈칸,우리말겨루기- 708회,시시덕거리다
덧개비 vs 덧게비,객관식,덧개비,덧게비,빈칸,우리말겨루기- 707회,덧게비
빨랫방 vs 빨래방,객관식,빨랫방,빨래방,빈칸,우리말겨루기- 707회,빨래방
싸래기눈 vs 싸라기눈,객관식,싸래기눈,싸라기눈,빈칸,우리말겨루기- 706회,싸라기눈
고기마냥 vs 고기처럼,객관식,고기마냥,고기처럼,빈칸,우리말겨루기- 705회,고기처럼
히끗히끗 vs 희끗희끗,객관식,히끗히끗,희끗희끗,빈칸,우리말겨루기- 704회,희끗희끗
앉치다 vs 안치다,객관식,앉치다,안치다,빈칸,우리말겨루기- 704회,안치다
턱받침 vs 턱받이,객관식,턱받침,턱받이,빈칸,우리말겨루기- 703회,턱받이
시퍼래진 vs 시퍼레진,객관식,시퍼래진,시퍼레진,빈칸,우리말겨루기- 703회,시퍼레진
주구장천 vs 주야장천,객관식,주구장천,주야장천,빈칸,우리말겨루기- 702회,주야장천
포복졸도 vs 포복절도,객관식,포복졸도,포복절도,빈칸,우리말겨루기- 702회,포복절도
짭조롬 vs 짭조름,객관식,짭조롬,짭조름,빈칸,우리말겨루기- 701회,짭조름
기여이 vs 기어이,객관식,기여이,기어이,빈칸,우리말겨루기- 701회,기어이
아랫층 vs 아래층,객관식,아랫층,아래층,빈칸,우리말겨루기- 700회,아래층
건넛편 vs 건넌편 vs 건너편,객관식,건넛편,건넌편,건너평,우리말겨루기- 700회,건너편
암코양이 vs 암고양이,객관식,암코양이,암고양이,빈칸,우리말겨루기- 699회,암고양이
발자욱 vs 발자국,객관식,발자국,발자국,빈칸,우리말겨루기- 699회,발자국
해뜰녘 vs 해뜰 녘 vs 해 뜰 녘,객관식,해뜰녘,해뜰 녘,해 뜰 녘,우리말겨루기- 698회,해 뜰 녘
고향집 vs 고향 집,객관식,고향집,고향 집,빈칸,우리말겨루기- 695회,고향 집
토끼눈 vs 토끼 눈,객관식,토끼눈,토끼 눈,빈칸,우리말겨루기- 695회,토끼 눈
돗데기시장 vs 도떼기시장,객관식,돗데기시장,도떼기시장,빈칸,우리말겨루기- 694회,도떼기시장
수북히 vs 수북이,객관식,수북히,수북이,빈칸,우리말겨루기- 694회,수북이
꿰메다 vs 꿰매다,객관식,꿰메다,꿰매다,빈칸,우리말겨루기- 693회,꿰매다
갖은 양념 vs 갖은양념,객관식,갖은 양념,갖은양념,빈칸,우리말겨루기- 693회,갖은양념
못 다한 vs 못다 한,객관식,못 다한,못다 한,빈칸,우리말겨루기- 691회,못다 한
깡총깡총 vs 깡충깡충,객관식,깡총깡총,깡충깡충,빈칸,우리말겨루기- 691회,깡충깡충
수입산 vs 외국산,객관식,수입산,외국산,빈칸,우리말겨루기- 689회,외국산
했건만은 vs 했건마는,객관식,했건만은,했건마는,빈칸,우리말겨루기- 690회,했건마는
붉으레 vs 불그레,객관식,붉으레,불그레,빈칸,우리말겨루기- 688회,불그레
누룽지 vs 눌은밥,객관식,누룽지,눌은밥,빈칸,우리말겨루기- 650회,눌은밥
굼뱅이 vs 굼벵이,객관식,굼뱅이,굼벵이,빈칸,우리말겨루기- 650회,굼벵이
골벵이 무침 vs 골뱅이무침,객관식,골벵이 무침,골뱅이무침,빈칸,우리말겨루기- 650회,골뱅이무침
구들막 vs 구들목,객관식,구들막,구들목,빈칸,우리말겨루기- 649회,구들목
배꼬다 vs 배배꼬다,객관식,배꼬다,배배꼬다,빈칸,우리말겨루기- 649회,배꼬다
깊이 들지 못하고 자주 깨면서 자는 잠은?,객관식,벼룩잠,괭이잠,노루잠,우리말겨루기- 646회,괭이잠
옷을 입은 채 아무것도 덮지 아니하고 아무 데나 쓰러져 자는 잠은?,객관식,돌꼇잠,등걸잠,멍석잠,우리말겨루기- 646회,등걸잠
주먹힘 vs 주먹심,객관식,주먹힘,주먹심,빈칸,우리말겨루기- 645회,주먹심
오무리다 vs 오므리다,객관식,오무리다,오므리다,빈칸,우리말겨루기- 645회,오므리다
아둥바둥 vs 아등바등,객관식,아둥바둥,아등바등,빈칸,우리말겨루기- 645회,아등바등
잠갔다 vs 잠궜다,객관식,잠갔다,잠궜다,빈칸,우리말겨루기- 645회,잠궜다
가능한 빨리 vs 가능한 한 빨리,객관식,가능한 빨리,가능한 한 빨리,빈칸,우리말겨루기- 644회,가능한 한 빨리
성공율 vs 성공률,객관식,성공율,성공률,빈칸,우리말겨루기- 639회,성공률
어쭙잖다 vs 어줍잖다,객관식,어쭙잖다,어줍잖다,빈칸,우리말겨루기- 638회,어쭙잖다
화제거리 vs 화젯거리,객관식,화제거리,화젯거리,빈칸,우리말겨루기- 638회,화젯거리
왠만하다 vs 웬만하다,객관식,왠만하다,웬만하다,빈칸,우리말겨루기- 637회,웬만하다
한편 vs 한켠,객관식,한편,한켠,빈칸,우리말겨루기- 637회,한편
캐캐묵은 vs 케케묵은,객관식,캐캐묵은,케케묵은,빈칸,우리말겨루기- 637회,케케묵은
날려쓰다 vs 갈겨쓰다,객관식,날려쓰다,갈겨쓰다,빈칸,우리말겨루기- 637회,갈겨쓰다
쭈꾸미 vs 주꾸미,객관식,쭈꾸미,주꾸미,빈칸,우리말겨루기- 635회,주꾸미
한가닥하다 vs 한가락하다,객관식,한가닥하다,한가락하다,빈칸,우리말겨루기- 635회,한가락하다
귓불 vs 귓볼,객관식,귓불,귓볼,빈칸,우리말겨루기- 635회,귓불
나무래다 vs 나무라다,객관식,나무래다,나무라다,빈칸,우리말겨루기- 635회,나무라다
거하게 vs 건하게,객관식,거하게,건하게,빈칸,우리말겨루기- 634회,건하게
곤란한 일을 당하여 어찌할 바를 모름을 뜻하는 말은?,객관식,곤경,곤욕,곤혹,우리말겨루기- 634회,곤혹
관계하여 참견하는 것을 뜻하는 말은?,객관식,관여,간여,빈칸,우리말겨루기- 634회,간여
사단나다 vs 사달나다,객관식,사단나다,사달나다,빈칸,우리말겨루기- 634회,사달나다
멋모르다 vs 뭣모르다,객관식,멋모르다,뭣모르다,빈칸,우리말겨루기- 634회,멋모르다
